Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.9087719298245613,0.013303290252722016,0.9088 ± 0.0133,302-306
Precision(+),0.9479578376805268,0.03569113661455093,0.9480 ± 0.0357,302-306
Recall(+),0.8666666666666668,0.023537557657892536,0.8667 ± 0.0235,302-306
Recall(-),0.9508771929824562,0.03595421321389332,0.9509 ± 0.0360,302-306
F1_Macro,0.9085651154614816,0.013244197104745994,0.9086 ± 0.0132,302-306
