Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Accuracy_Variance_Across_Folds,1.0,2.0,0.007017543859649,TRUE,,0.0070,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,2.5,0.0203084857943688,TRUE,,0.0203,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.0,0.0162695061324486,TRUE,,0.0163,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.5,0.0102297401663952,TRUE,,0.0102,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.0,0.0142526989555016,TRUE,,0.0143,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.5,0.0171894017037416,TRUE,,0.0172,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.0,0.0135894152498505,TRUE,,0.0136,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.5,0.0518657736810332,TRUE,,0.0519,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.0,0.0150917987141098,TRUE,,0.0151,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.5,0.0146782460795451,TRUE,,0.0147,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.0,0.0321584259295146,TRUE,,0.0322,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.5,0.0698677464973328,TRUE,,0.0699,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.0,0.9210526315789476,FALSE,,0.9211,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.5,0.9052631578947368,FALSE,,0.9053,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.0,0.9140350877192984,FALSE,,0.9140,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.5,0.8982456140350876,FALSE,,0.8982,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.0,0.9210526315789472,FALSE,,0.9211,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.5,0.9140350877192984,FALSE,,0.9140,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
