Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Cohen_Kappa,1.5,3.5,0.6982,TRUE,0.1160,0.6982 ± 0.1160
Cohen_Kappa,2.0,3.5,0.6737,TRUE,0.1562,0.6737 ± 0.1562
F1_Macro,1.0,2.0,0.9209,FALSE,0.0177,0.9209 ± 0.0177
F1_Macro,1.5,2.0,0.9210,FALSE,0.0107,0.9210 ± 0.0107
F1_Macro,2.0,2.0,0.9138,FALSE,0.0193,0.9138 ± 0.0193
F1_Macro,1.0,2.5,0.9050,FALSE,0.0228,0.9050 ± 0.0228
F1_Macro,1.5,2.5,0.9139,FALSE,0.0144,0.9139 ± 0.0144
F1_Macro,2.0,2.5,0.8924,FALSE,0.0175,0.8924 ± 0.0175
F1_Macro,1.0,3.0,0.9139,FALSE,0.0169,0.9139 ± 0.0169
F1_Macro,1.5,3.0,0.9209,FALSE,0.0166,0.9209 ± 0.0166
F1_Macro,2.0,3.0,0.8779,FALSE,0.0362,0.8779 ± 0.0362
F1_Macro,1.0,3.5,0.8979,FALSE,0.0147,0.8979 ± 0.0147
F1_Macro,1.5,3.5,0.9034,FALSE,0.0139,0.9034 ± 0.0139
F1_Macro,2.0,3.5,0.8431,FALSE,0.0897,0.8431 ± 0.0897
F1_Macro,1.0,2.0,0.9086,TRUE,0.0078,0.9086 ± 0.0078
F1_Macro,1.5,2.0,0.9067,TRUE,0.0162,0.9067 ± 0.0162
F1_Macro,2.0,2.0,0.9139,TRUE,0.0169,0.9139 ± 0.0169
F1_Macro,1.0,2.5,0.9014,TRUE,0.0231,0.9014 ± 0.0231
F1_Macro,1.5,2.5,0.9156,TRUE,0.0195,0.9156 ± 0.0195
F1_Macro,2.0,2.5,0.9156,TRUE,0.0195,0.9156 ± 0.0195
F1_Macro,1.0,3.0,0.9086,TRUE,0.0183,0.9086 ± 0.0183
F1_Macro,1.5,3.0,0.9121,TRUE,0.0153,0.9121 ± 0.0153
F1_Macro,2.0,3.0,0.8793,TRUE,0.0376,0.8793 ± 0.0376
F1_Macro,1.0,3.5,0.9138,TRUE,0.0116,0.9138 ± 0.0116
F1_Macro,1.5,3.5,0.8454,TRUE,0.0621,0.8454 ± 0.0621
F1_Macro,2.0,3.5,0.8304,TRUE,0.0872,0.8304 ± 0.0872
FNR_(False_Negative_Rate),1.0,2.0,0.1088,FALSE,0.0419,0.1088 ± 0.0419
FNR_(False_Negative_Rate),1.5,2.0,0.0596,FALSE,0.0235,0.0596 ± 0.0235
FNR_(False_Negative_Rate),2.0,2.0,0.0772,FALSE,0.0474,0.0772 ± 0.0474
FNR_(False_Negative_Rate),1.0,2.5,0.1123,FALSE,0.0628,0.1123 ± 0.0628
FNR_(False_Negative_Rate),1.5,2.5,0.0737,FALSE,0.0471,0.0737 ± 0.0471
FNR_(False_Negative_Rate),2.0,2.5,0.0561,FALSE,0.0400,0.0561 ± 0.0400
FNR_(False_Negative_Rate),1.0,3.0,0.0807,FALSE,0.0423,0.0807 ± 0.0423
FNR_(False_Negative_Rate),1.5,3.0,0.0596,FALSE,0.0294,0.0596 ± 0.0294
FNR_(False_Negative_Rate),2.0,3.0,0.0526,FALSE,0.0411,0.0526 ± 0.0411
FNR_(False_Negative_Rate),1.0,3.5,0.0772,FALSE,0.0490,0.0772 ± 0.0490
FNR_(False_Negative_Rate),1.5,3.5,0.0807,FALSE,0.0364,0.0807 ± 0.0364
FNR_(False_Negative_Rate),2.0,3.5,0.0316,FALSE,0.0337,0.0316 ± 0.0337
FNR_(False_Negative_Rate),1.0,2.0,0.1123,TRUE,0.0364,0.1123 ± 0.0364
FNR_(False_Negative_Rate),1.5,2.0,0.0842,TRUE,0.0546,0.0842 ± 0.0546
FNR_(False_Negative_Rate),2.0,2.0,0.0737,TRUE,0.0288,0.0737 ± 0.0288
FNR_(False_Negative_Rate),1.0,2.5,0.1439,TRUE,0.0574,0.1439 ± 0.0574
FNR_(False_Negative_Rate),1.5,2.5,0.0667,TRUE,0.0288,0.0667 ± 0.0288
FNR_(False_Negative_Rate),2.0,2.5,0.0667,TRUE,0.0288,0.0667 ± 0.0288
FNR_(False_Negative_Rate),1.0,3.0,0.0737,TRUE,0.0419,0.0737 ± 0.0419
FNR_(False_Negative_Rate),1.5,3.0,0.0632,TRUE,0.0342,0.0632 ± 0.0342
FNR_(False_Negative_Rate),2.0,3.0,0.0351,TRUE,0.0215,0.0351 ± 0.0215
FNR_(False_Negative_Rate),1.0,3.5,0.0842,TRUE,0.0600,0.0842 ± 0.0600
