Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Sensitivity_(Recall),2.0,2.5,0.9439,FALSE,0.0400,0.9439 ± 0.0400
Sensitivity_(Recall),1.0,3.0,0.9193,FALSE,0.0423,0.9193 ± 0.0423
Sensitivity_(Recall),1.5,3.0,0.9404,FALSE,0.0294,0.9404 ± 0.0294
Sensitivity_(Recall),2.0,3.0,0.9474,FALSE,0.0411,0.9474 ± 0.0411
Sensitivity_(Recall),1.0,3.5,0.9228,FALSE,0.0490,0.9228 ± 0.0490
Sensitivity_(Recall),1.5,3.5,0.9193,FALSE,0.0364,0.9193 ± 0.0364
Sensitivity_(Recall),2.0,3.5,0.9684,FALSE,0.0337,0.9684 ± 0.0337
Sensitivity_(Recall),1.0,2.0,0.8877,TRUE,0.0364,0.8877 ± 0.0364
Sensitivity_(Recall),1.5,2.0,0.9158,TRUE,0.0546,0.9158 ± 0.0546
Sensitivity_(Recall),2.0,2.0,0.9263,TRUE,0.0288,0.9263 ± 0.0288
Sensitivity_(Recall),1.0,2.5,0.8561,TRUE,0.0574,0.8561 ± 0.0574
Sensitivity_(Recall),1.5,2.5,0.9333,TRUE,0.0288,0.9333 ± 0.0288
Sensitivity_(Recall),2.0,2.5,0.9333,TRUE,0.0288,0.9333 ± 0.0288
Sensitivity_(Recall),1.0,3.0,0.9263,TRUE,0.0419,0.9263 ± 0.0419
Sensitivity_(Recall),1.5,3.0,0.9368,TRUE,0.0342,0.9368 ± 0.0342
Sensitivity_(Recall),2.0,3.0,0.9649,TRUE,0.0215,0.9649 ± 0.0215
Sensitivity_(Recall),1.0,3.5,0.9158,TRUE,0.0600,0.9158 ± 0.0600
Sensitivity_(Recall),1.5,3.5,0.9509,TRUE,0.0471,0.9509 ± 0.0471
Sensitivity_(Recall),2.0,3.5,0.9579,TRUE,0.0404,0.9579 ± 0.0404
Specificity,1.0,2.0,0.9509,FALSE,0.0229,0.9509 ± 0.0229
Specificity,1.5,2.0,0.9018,FALSE,0.0294,0.9018 ± 0.0294
Specificity,2.0,2.0,0.9053,FALSE,0.0590,0.9053 ± 0.0590
Specificity,1.0,2.5,0.9228,FALSE,0.0505,0.9228 ± 0.0505
Specificity,1.5,2.5,0.9018,FALSE,0.0319,0.9018 ± 0.0319
Specificity,2.0,2.5,0.8421,FALSE,0.0595,0.8421 ± 0.0595
Specificity,1.0,3.0,0.9088,FALSE,0.0625,0.9088 ± 0.0625
Specificity,1.5,3.0,0.9018,FALSE,0.0505,0.9018 ± 0.0505
Specificity,2.0,3.0,0.8105,FALSE,0.0872,0.8105 ± 0.0872
Specificity,1.0,3.5,0.8737,FALSE,0.0637,0.8737 ± 0.0637
Specificity,1.5,3.5,0.8877,FALSE,0.0404,0.8877 ± 0.0404
Specificity,2.0,3.5,0.7298,FALSE,0.1783,0.7298 ± 0.1783
Specificity,1.0,2.0,0.9298,TRUE,0.0430,0.9298 ± 0.0430
Specificity,1.5,2.0,0.8982,TRUE,0.0673,0.8982 ± 0.0673
Specificity,2.0,2.0,0.9018,TRUE,0.0457,0.9018 ± 0.0457
Specificity,1.0,2.5,0.9474,TRUE,0.0277,0.9474 ± 0.0277
Specificity,1.5,2.5,0.8982,TRUE,0.0600,0.8982 ± 0.0600
Specificity,2.0,2.5,0.8982,TRUE,0.0600,0.8982 ± 0.0600
Specificity,1.0,3.0,0.8912,TRUE,0.0600,0.8912 ± 0.0600
Specificity,1.5,3.0,0.8877,TRUE,0.0505,0.8877 ± 0.0505
Specificity,2.0,3.0,0.7965,TRUE,0.0900,0.7965 ± 0.0900
Specificity,1.0,3.5,0.9123,TRUE,0.0526,0.9123 ± 0.0526
Specificity,1.5,3.5,0.7474,TRUE,0.1572,0.7474 ± 0.1572
Specificity,2.0,3.5,0.7158,TRUE,0.1911,0.7158 ± 0.1911
