Metric,Pos_Weight,Gamma,Mean_Transfer_Learning_False,Mean_Transfer_Learning_True,Std_Transfer_Learning_False,Std_Transfer_Learning_True,Difference_True_Minus_False,Propagated_Std_True_Minus_False
Accuracy,1.0,2.0,0.9298245614035088,0.9385964912280702,0.0,0.0,0.00877192982456143,0.0
Accuracy,1.0,2.5,0.912280701754386,0.9298245614035088,0.0,0.0,0.01754385964912275,0.0
Accuracy,1.0,3.0,0.9385964912280702,0.8947368421052632,0.0,0.0,-0.04385964912280704,0.0
Accuracy,1.0,3.5,0.8859649122807017,0.912280701754386,0.0,0.0,0.026315789473684292,0.0
Accuracy,1.5,2.0,0.9298245614035088,0.912280701754386,0.0,0.0,-0.01754385964912275,0.0
Accuracy,1.5,2.5,0.9298245614035088,0.8947368421052632,0.0,0.0,-0.03508771929824561,0.0
Accuracy,1.5,3.0,0.912280701754386,0.9385964912280702,0.0,0.0,0.02631578947368418,0.0
Accuracy,1.5,3.5,0.9298245614035088,0.912280701754386,0.0,0.0,-0.01754385964912275,0.0
Accuracy,2.0,2.0,0.912280701754386,0.9210526315789472,0.0,0.0,0.008771929824561209,0.0
Accuracy,2.0,2.5,0.9210526315789472,0.9210526315789472,0.0,0.0,0.0,0.0
Accuracy,2.0,3.0,0.912280701754386,0.9210526315789472,0.0,0.0,0.008771929824561209,0.0
Accuracy,2.0,3.5,0.912280701754386,0.9035087719298246,0.0,0.0,-0.00877192982456143,0.0
Balanced_Accuracy,1.0,2.0,0.9298245614035088,0.9385964912280702,0.0,0.0,0.00877192982456143,0.0
Balanced_Accuracy,1.0,2.5,0.912280701754386,0.9298245614035088,0.0,0.0,0.01754385964912275,0.0
Balanced_Accuracy,1.0,3.0,0.9385964912280702,0.894736842105263,0.0,0.0,-0.043859649122807154,0.0
Balanced_Accuracy,1.0,3.5,0.8859649122807017,0.912280701754386,0.0,0.0,0.026315789473684292,0.0
Balanced_Accuracy,1.5,2.0,0.9298245614035088,0.912280701754386,0.0,0.0,-0.01754385964912275,0.0
Balanced_Accuracy,1.5,2.5,0.9298245614035088,0.8947368421052632,0.0,0.0,-0.03508771929824561,0.0
Balanced_Accuracy,1.5,3.0,0.912280701754386,0.9385964912280702,0.0,0.0,0.02631578947368418,0.0
Balanced_Accuracy,1.5,3.5,0.9298245614035088,0.912280701754386,0.0,0.0,-0.01754385964912275,0.0
Balanced_Accuracy,2.0,2.0,0.912280701754386,0.9210526315789472,0.0,0.0,0.008771929824561209,0.0
Balanced_Accuracy,2.0,2.5,0.9210526315789472,0.9210526315789472,0.0,0.0,0.0,0.0
Balanced_Accuracy,2.0,3.0,0.912280701754386,0.9210526315789472,0.0,0.0,0.008771929824561209,0.0
Balanced_Accuracy,2.0,3.5,0.912280701754386,0.9035087719298244,0.0,0.0,-0.008771929824561653,0.0
Cohen_Kappa,1.0,2.0,0.8596491228070176,0.8771929824561404,0.0,0.0,0.01754385964912286,0.0
Cohen_Kappa,1.0,2.5,0.8245614035087718,0.8596491228070176,0.0,0.0,0.03508771929824572,0.0
Cohen_Kappa,1.0,3.0,0.8771929824561404,0.7894736842105263,0.0,0.0,-0.08771929824561409,0.0
Cohen_Kappa,1.0,3.5,0.7719298245614035,0.8245614035087718,0.0,0.0,0.05263157894736836,0.0
Cohen_Kappa,1.5,2.0,0.8596491228070176,0.8245614035087718,0.0,0.0,-0.03508771929824572,0.0
Cohen_Kappa,1.5,2.5,0.8596491228070176,0.7894736842105263,0.0,0.0,-0.07017543859649122,0.0
Cohen_Kappa,1.5,3.0,0.8245614035087718,0.8771929824561404,0.0,0.0,0.052631578947368585,0.0
Cohen_Kappa,1.5,3.5,0.8596491228070176,0.8245614035087718,0.0,0.0,-0.03508771929824572,0.0
Cohen_Kappa,2.0,2.0,0.8245614035087718,0.8421052631578947,0.0,0.0,0.01754385964912286,0.0
Cohen_Kappa,2.0,2.5,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,0.0
Cohen_Kappa,2.0,3.0,0.8245614035087718,0.8421052631578947,0.0,0.0,0.01754385964912286,0.0
Cohen_Kappa,2.0,3.5,0.8245614035087718,0.8070175438596492,0.0,0.0,-0.01754385964912264,0.0
F1_Score,1.0,2.0,0.9285714285714284,0.9380530973451328,0.0,0.0,0.009481668773704377,0.0
F1_Score,1.0,2.5,0.912280701754386,0.9285714285714284,0.0,0.0,0.016290726817042356,0.0
F1_Score,1.0,3.0,0.9380530973451328,0.8928571428571428,0.0,0.0,-0.045195954487989964,0.0
F1_Score,1.0,3.5,0.8849557522123894,0.913793103448276,0.0,0.0,0.0288373512358866,0.0
F1_Score,1.5,2.0,0.9285714285714284,0.912280701754386,0.0,0.0,-0.016290726817042356,0.0
F1_Score,1.5,2.5,0.9285714285714284,0.8947368421052632,0.0,0.0,-0.03383458646616522,0.0
F1_Score,1.5,3.0,0.9107142857142856,0.9380530973451328,0.0,0.0,0.02733881163084717,0.0
F1_Score,1.5,3.5,0.9285714285714284,0.9107142857142856,0.0,0.0,-0.017857142857142794,0.0
F1_Score,2.0,2.0,0.9107142857142856,0.918918918918919,0.0,0.0,0.008204633204633383,0.0
F1_Score,2.0,2.5,0.9203539823008848,0.9203539823008848,0.0,0.0,0.0,0.0
F1_Score,2.0,3.0,0.9107142857142856,0.9203539823008848,0.0,0.0,0.009639696586599245,0.0
F1_Score,2.0,3.5,0.912280701754386,0.9043478260869564,0.0,0.0,-0.007932875667429617,0.0
FNR_(False_Negative_Rate),1.0,2.0,0.087719298245614,0.0701754385964912,0.0,0.0,-0.017543859649122806,0.0
FNR_(False_Negative_Rate),1.0,2.5,0.087719298245614,0.087719298245614,0.0,0.0,0.0,0.0
FNR_(False_Negative_Rate),1.0,3.0,0.0701754385964912,0.1228070175438596,0.0,0.0,0.052631578947368404,0.0
FNR_(False_Negative_Rate),1.0,3.5,0.1228070175438596,0.0701754385964912,0.0,0.0,-0.052631578947368404,0.0
FNR_(False_Negative_Rate),1.5,2.0,0.087719298245614,0.087719298245614,0.0,0.0,0.0,0.0
FNR_(False_Negative_Rate),1.5,2.5,0.087719298245614,0.1052631578947368,0.0,0.0,0.017543859649122792,0.0
FNR_(False_Negative_Rate),1.5,3.0,0.1052631578947368,0.0701754385964912,0.0,0.0,-0.0350877192982456,0.0
FNR_(False_Negative_Rate),1.5,3.5,0.087719298245614,0.1052631578947368,0.0,0.0,0.017543859649122792,0.0
FNR_(False_Negative_Rate),2.0,2.0,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0
FNR_(False_Negative_Rate),2.0,2.5,0.087719298245614,0.087719298245614,0.0,0.0,0.0,0.0
FNR_(False_Negative_Rate),2.0,3.0,0.1052631578947368,0.087719298245614,0.0,0.0,-0.017543859649122792,0.0
FNR_(False_Negative_Rate),2.0,3.5,0.087719298245614,0.087719298245614,0.0,0.0,0.0,0.0
FN_(False_Negatives),1.0,2.0,5.0,4.0,0.0,0.0,-1.0,0.0
FN_(False_Negatives),1.0,2.5,5.0,5.0,0.0,0.0,0.0,0.0
FN_(False_Negatives),1.0,3.0,4.0,7.0,0.0,0.0,3.0,0.0
FN_(False_Negatives),1.0,3.5,7.0,4.0,0.0,0.0,-3.0,0.0
FN_(False_Negatives),1.5,2.0,5.0,5.0,0.0,0.0,0.0,0.0
FN_(False_Negatives),1.5,2.5,5.0,6.0,0.0,0.0,1.0,0.0
FN_(False_Negatives),1.5,3.0,6.0,4.0,0.0,0.0,-2.0,0.0
FN_(False_Negatives),1.5,3.5,5.0,6.0,0.0,0.0,1.0,0.0
FN_(False_Negatives),2.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0
FN_(False_Negatives),2.0,2.5,5.0,5.0,0.0,0.0,0.0,0.0
FN_(False_Negatives),2.0,3.0,6.0,5.0,0.0,0.0,-1.0,0.0
FN_(False_Negatives),2.0,3.5,5.0,5.0,0.0,0.0,0.0,0.0
FPR_(False_Positive_Rate),1.0,2.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,0.0
FPR_(False_Positive_Rate),1.0,2.5,0.087719298245614,0.0526315789473684,0.0,0.0,-0.035087719298245605,0.0
FPR_(False_Positive_Rate),1.0,3.0,0.0526315789473684,0.087719298245614,0.0,0.0,0.035087719298245605,0.0
FPR_(False_Positive_Rate),1.0,3.5,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0
FPR_(False_Positive_Rate),1.5,2.0,0.0526315789473684,0.087719298245614,0.0,0.0,0.035087719298245605,0.0
FPR_(False_Positive_Rate),1.5,2.5,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0
FPR_(False_Positive_Rate),1.5,3.0,0.0701754385964912,0.0526315789473684,0.0,0.0,-0.0175438596491228,0.0
FPR_(False_Positive_Rate),1.5,3.5,0.0526315789473684,0.0701754385964912,0.0,0.0,0.0175438596491228,0.0
FPR_(False_Positive_Rate),2.0,2.0,0.0701754385964912,0.0526315789473684,0.0,0.0,-0.0175438596491228,0.0
FPR_(False_Positive_Rate),2.0,2.5,0.0701754385964912,0.0701754385964912,0.0,0.0,0.0,0.0
FPR_(False_Positive_Rate),2.0,3.0,0.0701754385964912,0.0701754385964912,0.0,0.0,0.0,0.0
FPR_(False_Positive_Rate),2.0,3.5,0.087719298245614,0.1052631578947368,0.0,0.0,0.017543859649122792,0.0
FP_(False_Positives),1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
FP_(False_Positives),1.0,2.5,5.0,3.0,0.0,0.0,-2.0,0.0
FP_(False_Positives),1.0,3.0,3.0,5.0,0.0,0.0,2.0,0.0
FP_(False_Positives),1.0,3.5,6.0,6.0,0.0,0.0,0.0,0.0
FP_(False_Positives),1.5,2.0,3.0,5.0,0.0,0.0,2.0,0.0
FP_(False_Positives),1.5,2.5,3.0,6.0,0.0,0.0,3.0,0.0
FP_(False_Positives),1.5,3.0,4.0,3.0,0.0,0.0,-1.0,0.0
FP_(False_Positives),1.5,3.5,3.0,4.0,0.0,0.0,1.0,0.0
FP_(False_Positives),2.0,2.0,4.0,3.0,0.0,0.0,-1.0,0.0
FP_(False_Positives),2.0,2.5,4.0,4.0,0.0,0.0,0.0,0.0
FP_(False_Positives),2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0
FP_(False_Positives),2.0,3.5,5.0,6.0,0.0,0.0,1.0,0.0
Matthews_Correlation_Coefficient,1.0,2.0,0.860178789599605,0.8773280079294955,0.0,0.0,0.01714921832989047,0.0
Matthews_Correlation_Coefficient,1.0,2.5,0.8245614035087719,0.860178789599605,0.0,0.0,0.03561738609083309,0.0
Matthews_Correlation_Coefficient,1.0,3.0,0.8773280079294955,0.7899601128975965,0.0,0.0,-0.08736789503189901,0.0
Matthews_Correlation_Coefficient,1.0,3.5,0.772048646977956,0.8250694512486008,0.0,0.0,0.053020804270644706,0.0
Matthews_Correlation_Coefficient,1.5,2.0,0.860178789599605,0.8245614035087719,0.0,0.0,-0.03561738609083309,0.0
Matthews_Correlation_Coefficient,1.5,2.5,0.860178789599605,0.7894736842105263,0.0,0.0,-0.0707051053890787,0.0
Matthews_Correlation_Coefficient,1.5,3.0,0.8250694512486008,0.8773280079294955,0.0,0.0,0.05225855668089474,0.0
Matthews_Correlation_Coefficient,1.5,3.5,0.860178789599605,0.8250694512486008,0.0,0.0,-0.03510933835100427,0.0
Matthews_Correlation_Coefficient,2.0,2.0,0.8250694512486008,0.8432740427115678,0.0,0.0,0.018204591462967046,0.0
Matthews_Correlation_Coefficient,2.0,2.5,0.8422348876123157,0.8422348876123157,0.0,0.0,0.0,0.0
Matthews_Correlation_Coefficient,2.0,3.0,0.8250694512486008,0.8422348876123157,0.0,0.0,0.017165436363714925,0.0
Matthews_Correlation_Coefficient,2.0,3.5,0.8245614035087719,0.8071417672951359,0.0,0.0,-0.01741963621363607,0.0
NPV_(Negative_Predictive_Value),1.0,2.0,0.9152542372881356,0.9310344827586208,0.0,0.0,0.015780245470485177,0.0
NPV_(Negative_Predictive_Value),1.0,2.5,0.912280701754386,0.9152542372881356,0.0,0.0,0.0029735355337495717,0.0
NPV_(Negative_Predictive_Value),1.0,3.0,0.9310344827586208,0.8813559322033898,0.0,0.0,-0.04967855055523096,0.0
NPV_(Negative_Predictive_Value),1.0,3.5,0.8793103448275862,0.9272727272727272,0.0,0.0,0.04796238244514106,0.0
NPV_(Negative_Predictive_Value),1.5,2.0,0.9152542372881356,0.912280701754386,0.0,0.0,-0.0029735355337495717,0.0
NPV_(Negative_Predictive_Value),1.5,2.5,0.9152542372881356,0.8947368421052632,0.0,0.0,-0.020517395182872433,0.0
NPV_(Negative_Predictive_Value),1.5,3.0,0.8983050847457628,0.9310344827586208,0.0,0.0,0.03272939801285801,0.0
NPV_(Negative_Predictive_Value),1.5,3.5,0.9152542372881356,0.8983050847457628,0.0,0.0,-0.016949152542372836,0.0
NPV_(Negative_Predictive_Value),2.0,2.0,0.8983050847457628,0.9,0.0,0.0,0.0016949152542372614,0.0
NPV_(Negative_Predictive_Value),2.0,2.5,0.913793103448276,0.913793103448276,0.0,0.0,0.0,0.0
NPV_(Negative_Predictive_Value),2.0,3.0,0.8983050847457628,0.913793103448276,0.0,0.0,0.015488018702513262,0.0
NPV_(Negative_Predictive_Value),2.0,3.5,0.912280701754386,0.9107142857142856,0.0,0.0,-0.0015664160401004379,0.0
PPV_(Positive_Predictive_Value),1.0,2.0,0.9454545454545454,0.9464285714285714,0.0,0.0,0.0009740259740259605,0.0
PPV_(Positive_Predictive_Value),1.0,2.5,0.912280701754386,0.9454545454545454,0.0,0.0,0.03317384370015941,0.0
PPV_(Positive_Predictive_Value),1.0,3.0,0.9464285714285714,0.9090909090909092,0.0,0.0,-0.037337662337662225,0.0
PPV_(Positive_Predictive_Value),1.0,3.5,0.8928571428571429,0.8983050847457628,0.0,0.0,0.005447941888619856,0.0
PPV_(Positive_Predictive_Value),1.5,2.0,0.9454545454545454,0.912280701754386,0.0,0.0,-0.03317384370015941,0.0
PPV_(Positive_Predictive_Value),1.5,2.5,0.9454545454545454,0.8947368421052632,0.0,0.0,-0.05071770334928227,0.0
PPV_(Positive_Predictive_Value),1.5,3.0,0.9272727272727272,0.9464285714285714,0.0,0.0,0.01915584415584415,0.0
PPV_(Positive_Predictive_Value),1.5,3.5,0.9454545454545454,0.9272727272727272,0.0,0.0,-0.018181818181818188,0.0
PPV_(Positive_Predictive_Value),2.0,2.0,0.9272727272727272,0.9444444444444444,0.0,0.0,0.01717171717171717,0.0
PPV_(Positive_Predictive_Value),2.0,2.5,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0
PPV_(Positive_Predictive_Value),2.0,3.0,0.9272727272727272,0.9285714285714286,0.0,0.0,0.0012987012987013546,0.0
PPV_(Positive_Predictive_Value),2.0,3.5,0.912280701754386,0.896551724137931,0.0,0.0,-0.015728977616454975,0.0
Precision,1.0,2.0,0.9454545454545454,0.9464285714285714,0.0,0.0,0.0009740259740259605,0.0
Precision,1.0,2.5,0.912280701754386,0.9454545454545454,0.0,0.0,0.03317384370015941,0.0
Precision,1.0,3.0,0.9464285714285714,0.9090909090909092,0.0,0.0,-0.037337662337662225,0.0
Precision,1.0,3.5,0.8928571428571429,0.8983050847457628,0.0,0.0,0.005447941888619856,0.0
Precision,1.5,2.0,0.9454545454545454,0.912280701754386,0.0,0.0,-0.03317384370015941,0.0
Precision,1.5,2.5,0.9454545454545454,0.8947368421052632,0.0,0.0,-0.05071770334928227,0.0
Precision,1.5,3.0,0.9272727272727272,0.9464285714285714,0.0,0.0,0.01915584415584415,0.0
Precision,1.5,3.5,0.9454545454545454,0.9272727272727272,0.0,0.0,-0.018181818181818188,0.0
Precision,2.0,2.0,0.9272727272727272,0.9444444444444444,0.0,0.0,0.01717171717171717,0.0
Precision,2.0,2.5,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0
Precision,2.0,3.0,0.9272727272727272,0.9285714285714286,0.0,0.0,0.0012987012987013546,0.0
Precision,2.0,3.5,0.912280701754386,0.896551724137931,0.0,0.0,-0.015728977616454975,0.0
Recall,1.0,2.0,0.912280701754386,0.9298245614035088,0.0,0.0,0.01754385964912275,0.0
Recall,1.0,2.5,0.912280701754386,0.912280701754386,0.0,0.0,0.0,0.0
Recall,1.0,3.0,0.9298245614035088,0.8771929824561403,0.0,0.0,-0.052631578947368474,0.0
Recall,1.0,3.5,0.8771929824561403,0.9298245614035088,0.0,0.0,0.052631578947368474,0.0
Recall,1.5,2.0,0.912280701754386,0.912280701754386,0.0,0.0,0.0,0.0
Recall,1.5,2.5,0.912280701754386,0.8947368421052632,0.0,0.0,-0.01754385964912286,0.0
Recall,1.5,3.0,0.8947368421052632,0.9298245614035088,0.0,0.0,0.03508771929824561,0.0
Recall,1.5,3.5,0.912280701754386,0.8947368421052632,0.0,0.0,-0.01754385964912286,0.0
Recall,2.0,2.0,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0
Recall,2.0,2.5,0.912280701754386,0.912280701754386,0.0,0.0,0.0,0.0
Recall,2.0,3.0,0.8947368421052632,0.912280701754386,0.0,0.0,0.01754385964912286,0.0
Recall,2.0,3.5,0.912280701754386,0.912280701754386,0.0,0.0,0.0,0.0
Sensitivity,1.0,2.0,0.912280701754386,0.9298245614035088,0.0,0.0,0.01754385964912275,0.0
Sensitivity,1.0,2.5,0.912280701754386,0.912280701754386,0.0,0.0,0.0,0.0
