,precision,recall,f1-score,support
0,0.9046052631578947,0.9482758620689655,0.9259259259259259,290.0
1,0.9456521739130435,0.9,0.92226148409894,290.0
accuracy,0.9241379310344827,0.9241379310344827,0.9241379310344827,0.9241379310344827
macro avg,0.9251287185354691,0.9241379310344828,0.9240937050124329,580.0
weighted avg,0.9251287185354692,0.9241379310344827,0.924093705012433,580.0
