Metric,Pos_Weight,Gamma,Mean_Transfer_Learning_False,Mean_Transfer_Learning_True,Std_Transfer_Learning_False,Std_Transfer_Learning_True,Difference_True_Minus_False,Propagated_Std_True_Minus_False
FNR_(False_Negative_Rate),2.0,2.0,0.0772,0.0737,0.0474,0.0288,-0.003500000000000003,0.055463501512255785
FNR_(False_Negative_Rate),2.0,2.5,0.0561,0.0667,0.04,0.0288,0.010599999999999998,0.04928934976239796
FNR_(False_Negative_Rate),2.0,3.0,0.0526,0.0351,0.0411,0.0215,-0.0175,0.04638383339052519
FNR_(False_Negative_Rate),2.0,3.5,0.0316,0.0421,0.0337,0.0404,0.010499999999999995,0.052610360196448
FPR_(False_Positive_Rate),1.0,2.0,0.0491,0.0702,0.0229,0.043,0.0211,0.04871765593704196
FPR_(False_Positive_Rate),1.0,2.5,0.0772,0.0526,0.0505,0.0277,-0.024600000000000004,0.05759809024611841
FPR_(False_Positive_Rate),1.0,3.0,0.0912,0.1088,0.0625,0.06,0.01759999999999999,0.08663861725581729
FPR_(False_Positive_Rate),1.0,3.5,0.1263,0.0877,0.0637,0.0526,-0.038599999999999995,0.0826102293907964
FPR_(False_Positive_Rate),1.5,2.0,0.0982,0.1018,0.0294,0.0673,0.003600000000000006,0.07344147329676877
FPR_(False_Positive_Rate),1.5,2.5,0.0982,0.1018,0.0319,0.06,0.003600000000000006,0.06795299846217236
FPR_(False_Positive_Rate),1.5,3.0,0.0982,0.1123,0.0505,0.0505,0.014100000000000001,0.07141778489984131
FPR_(False_Positive_Rate),1.5,3.5,0.1123,0.2526,0.0404,0.1572,0.14029999999999998,0.16230834852218787
FPR_(False_Positive_Rate),2.0,2.0,0.0947,0.0982,0.059,0.0457,0.0034999999999999892,0.07462901580484631
FPR_(False_Positive_Rate),2.0,2.5,0.1579,0.1018,0.0595,0.06,-0.05610000000000001,0.08449999999999999
FPR_(False_Positive_Rate),2.0,3.0,0.1895,0.2035,0.0872,0.09,0.013999999999999985,0.12531496319274885
FPR_(False_Positive_Rate),2.0,3.5,0.2702,0.2842,0.1783,0.1911,0.014000000000000012,0.26136200948110266
