RunID,Fold,Accuracy,Precision(+),Recall(+),Recall(-),F1_Macro
117,f0,0.896551724137931,1.0,0.7931034482758621,1.0,0.8954326923076923
118,f1,0.8189655172413793,1.0,0.6379310344827587,1.0,0.812831348444103
119,f2,0.9051724137931034,1.0,0.8103448275862069,1.0,0.9043119610048744
120,f3,0.9224137931034484,1.0,0.8448275862068966,1.0,0.9219439252336448
121,f4,0.8706896551724138,1.0,0.7413793103448276,1.0,0.8684906658604792
122,f0,0.853448275862069,1.0,0.7068965517241379,1.0,0.8502316397053239
123,f1,0.8017241379310345,1.0,0.603448275862069,1.0,0.793610273071865
124,f2,0.896551724137931,1.0,0.7931034482758621,1.0,0.8954326923076923
125,f3,0.8620689655172413,1.0,0.7241379310344828,1.0,0.8593939393939394
126,f4,0.8189655172413793,1.0,0.6379310344827587,1.0,0.812831348444103
127,f0,0.8706896551724138,0.9777777777777776,0.7586206896551724,0.9827586206896552,0.8690449311356967
128,f1,0.8362068965517241,0.9534883720930232,0.7068965517241379,0.9655172413793104,0.8334215100899403
129,f2,0.913793103448276,0.9444444444444444,0.8793103448275862,0.9482758620689656,0.9136904761904764
130,f3,0.7844827586206896,0.726027397260274,0.913793103448276,0.6551724137931034,0.780817776434132
131,f4,0.9224137931034484,0.9454545454545454,0.896551724137931,0.9482758620689656,0.9223618651000224
132,f0,0.9310344827586208,1.0,0.8620689655172413,1.0,0.930704898446834
133,f1,0.8706896551724138,1.0,0.7413793103448276,1.0,0.8684906658604792
134,f2,0.8448275862068966,0.9545454545454546,0.7241379310344828,0.9655172413793104,0.8425339366515837
135,f3,0.6896551724137931,0.627906976744186,0.9310344827586208,0.4482758620689655,0.6704545454545454
136,f4,0.8793103448275862,1.0,0.7586206896551724,1.0,0.877526395173454
137,f0,0.5,0.5,1.0,0.0,0.3333333333333333
138,f1,0.5,0.0,0.0,1.0,0.3333333333333333
139,f2,0.5,0.0,0.0,1.0,0.3333333333333333
140,f3,0.5,0.0,0.0,1.0,0.3333333333333333
141,f4,0.5,0.5,1.0,0.0,0.3333333333333333
142,f0,0.8879310344827587,1.0,0.7758620689655172,1.0,0.8865056069842703
143,f1,0.9051724137931034,1.0,0.8103448275862069,1.0,0.9043119610048744
144,f2,0.8620689655172413,1.0,0.7241379310344828,1.0,0.8593939393939394
145,f3,0.9051724137931034,1.0,0.8103448275862069,1.0,0.9043119610048744
146,f4,0.9051724137931034,1.0,0.8103448275862069,1.0,0.9043119610048744
147,f0,0.8879310344827587,1.0,0.7758620689655172,1.0,0.8865056069842703
148,f1,0.896551724137931,1.0,0.7931034482758621,1.0,0.8954326923076923
149,f2,0.8879310344827587,1.0,0.7758620689655172,1.0,0.8865056069842703
150,f3,0.8879310344827587,1.0,0.7758620689655172,1.0,0.8865056069842703
151,f4,0.9051724137931034,1.0,0.8103448275862069,1.0,0.9043119610048744
