,precision,recall,f1-score,support
Negative,0.8307692307692308,0.9473684210526315,0.8852459016393444,57.0
Positive,0.9387755102040817,0.8070175438596491,0.8679245283018868,57.0
accuracy,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.8771929824561403
macro avg,0.8847723704866562,0.8771929824561403,0.8765852149706156,114.0
weighted avg,0.8847723704866562,0.8771929824561403,0.8765852149706157,114.0
Sensitivity_(Recall),0.8070175438596491,,,
Specificity,0.9473684210526315,,,
Balanced_Accuracy,0.8771929824561403,,,
PPV_(Positive_Predictive_Value),0.9387755102040817,,,
NPV_(Negative_Predictive_Value),0.8307692307692308,,,
FPR_(False_Positive_Rate),0.05263157894736842,,,
FNR_(False_Negative_Rate),0.19298245614035087,,,
Matthews_Correlation_Coefficient,0.7619276553337091,,,
Cohen_Kappa,0.7543859649122807,,,
TP_(True_Positives),46.0,,,
FP_(False_Positives),3.0,,,
FN_(False_Negatives),11.0,,,
TN_(True_Negatives),54.0,,,
