,precision,recall,f1-score,support
Negative,0.8620689655172413,0.8771929824561403,0.8695652173913043,57.0
Positive,0.875,0.8596491228070176,0.8672566371681416,57.0
accuracy,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579
macro avg,0.8685344827586207,0.868421052631579,0.8684109272797229,114.0
weighted avg,0.8685344827586207,0.868421052631579,0.8684109272797229,114.0
Sensitivity_(Recall),0.8596491228070176,,,
Specificity,0.8771929824561403,,,
Balanced_Accuracy,0.868421052631579,,,
PPV_(Positive_Predictive_Value),0.875,,,
NPV_(Negative_Predictive_Value),0.8620689655172413,,,
FPR_(False_Positive_Rate),0.12280701754385964,,,
FNR_(False_Negative_Rate),0.14035087719298245,,,
Matthews_Correlation_Coefficient,0.7369555266607762,,,
Cohen_Kappa,0.736842105263158,,,
TP_(True_Positives),49.0,,,
FP_(False_Positives),7.0,,,
FN_(False_Negatives),8.0,,,
TN_(True_Negatives),50.0,,,
