Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Balanced_Accuracy,1.0,2.5,0.9298245614035088,TRUE,,0.9298,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,3.0,0.894736842105263,TRUE,,0.8947,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,3.5,0.912280701754386,TRUE,,0.9123,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,2.0,0.912280701754386,TRUE,,0.9123,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,2.5,0.8947368421052632,TRUE,,0.8947,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,3.0,0.9385964912280702,TRUE,,0.9386,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,3.5,0.912280701754386,TRUE,,0.9123,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,2.0,0.9210526315789472,TRUE,,0.9211,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,2.5,0.9210526315789472,TRUE,,0.9211,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,3.0,0.9210526315789472,TRUE,,0.9211,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,3.5,0.9035087719298244,TRUE,,0.9035,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,2.0,0.8596491228070176,FALSE,,0.8596,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,2.5,0.8245614035087719,FALSE,,0.8246,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,3.0,0.8771929824561404,FALSE,,0.8772,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,3.5,0.7719298245614035,FALSE,,0.7719,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,2.0,0.8596491228070176,FALSE,,0.8596,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,2.5,0.8596491228070176,FALSE,,0.8596,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,3.0,0.8245614035087719,FALSE,,0.8246,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,3.5,0.8596491228070176,FALSE,,0.8596,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,2.0,0.8245614035087719,FALSE,,0.8246,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,2.5,0.8421052631578947,FALSE,,0.8421,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,3.0,0.8245614035087719,FALSE,,0.8246,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,3.5,0.8245614035087719,FALSE,,0.8246,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,2.0,0.8771929824561404,TRUE,,0.8772,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,2.5,0.8596491228070176,TRUE,,0.8596,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,3.0,0.7894736842105263,TRUE,,0.7895,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.0,3.5,0.8245614035087719,TRUE,,0.8246,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,2.0,0.8245614035087719,TRUE,,0.8246,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,2.5,0.7894736842105263,TRUE,,0.7895,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,3.0,0.8771929824561404,TRUE,,0.8772,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
Cohen_Kappa,1.5,3.5,0.8245614035087719,TRUE,,0.8246,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,2.0,0.8421052631578947,TRUE,,0.8421,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,2.5,0.8421052631578947,TRUE,,0.8421,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,3.0,0.8421052631578947,TRUE,,0.8421,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
Cohen_Kappa,2.0,3.5,0.8070175438596492,TRUE,,0.8070,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
