,precision,recall,f1-score,support
Negative,0.6480107162653199,0.884980129108228,0.7481800808852939,47557.0
Contaminated,0.7706114232995052,0.44561922545286997,0.5646943134151775,41237.0
accuracy,0.6809356488050995,0.6809356488050995,0.6809356488050995,0.6809356488050995
macro avg,0.7093110697824125,0.665299677280549,0.6564371971502356,88794.0
weighted avg,0.7049479570244782,0.6809356488050995,0.6629670868410432,88794.0
OVERALL_AUC_ROC,,,,0.7290854842967499
