,precision,recall,f1-score,support
Negative,0.8548387096774194,0.9298245614035088,0.8907563025210085,57.0
Positive,0.9230769230769231,0.8421052631578947,0.8807339449541285,57.0
accuracy,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.8859649122807017
macro avg,0.8889578163771712,0.8859649122807017,0.8857451237375684,114.0
weighted avg,0.8889578163771713,0.8859649122807017,0.8857451237375684,114.0
Sensitivity_(Recall),0.8421052631578947,,,
Specificity,0.9298245614035088,,,
Balanced_Accuracy,0.8859649122807017,,,
PPV_(Positive_Predictive_Value),0.9230769230769231,,,
NPV_(Negative_Predictive_Value),0.8548387096774194,,,
FPR_(False_Positive_Rate),0.07017543859649122,,,
FNR_(False_Negative_Rate),0.15789473684210525,,,
Matthews_Correlation_Coefficient,0.7749169490439816,,,
Cohen_Kappa,0.7719298245614035,,,
TP_(True_Positives),48.0,,,
FP_(False_Positives),4.0,,,
FN_(False_Negatives),9.0,,,
TN_(True_Negatives),53.0,,,
