Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Summary_Type,Profile,Source_Folder,Source_File
Accuracy,1.0,2.0,0.9298245614035088,FALSE,,0.9298,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Accuracy,1.0,2.5,0.9035087719298246,FALSE,,0.9035,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Accuracy,1.0,3.0,0.8508771929824561,FALSE,,0.8509,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Accuracy,1.0,3.5,0.868421052631579,FALSE,,0.8684,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Accuracy,1.5,2.0,0.8859649122807017,FALSE,,0.8860,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Accuracy,1.5,2.5,0.9035087719298246,FALSE,,0.9035,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Accuracy,1.5,3.0,0.8771929824561403,FALSE,,0.8772,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Accuracy,1.5,3.5,0.8508771929824561,FALSE,,0.8509,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Accuracy,2.0,2.0,0.8771929824561403,FALSE,,0.8772,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Accuracy,2.0,2.5,0.8421052631578947,FALSE,,0.8421,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Accuracy,2.0,3.0,0.8245614035087719,FALSE,,0.8246,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Accuracy,2.0,3.5,0.6929824561403509,FALSE,,0.6930,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Accuracy,1.0,2.0,0.8947368421052632,TRUE,,0.8947,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Accuracy,1.0,2.5,0.912280701754386,TRUE,,0.9123,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Accuracy,1.0,3.0,0.868421052631579,TRUE,,0.8684,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Accuracy,1.0,3.5,0.9035087719298246,TRUE,,0.9035,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Accuracy,1.5,2.0,0.8771929824561403,TRUE,,0.8772,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Accuracy,1.5,2.5,0.868421052631579,TRUE,,0.8684,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Accuracy,1.5,3.0,0.868421052631579,TRUE,,0.8684,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Accuracy,1.5,3.5,0.7192982456140351,TRUE,,0.7193,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
