,precision,recall,f1-score,support
Negative,0.9607843137254902,0.8596491228070176,0.9074074074074074,57.0
Positive,0.873015873015873,0.9649122807017544,0.9166666666666666,57.0
accuracy,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859
macro avg,0.9169000933706817,0.9122807017543859,0.912037037037037,114.0
weighted avg,0.9169000933706816,0.9122807017543859,0.9120370370370371,114.0
Sensitivity_(Recall),0.9649122807017544,,,
Specificity,0.8596491228070176,,,
Balanced_Accuracy,0.9122807017543859,,,
PPV_(Positive_Predictive_Value),0.873015873015873,,,
NPV_(Negative_Predictive_Value),0.9607843137254902,,,
FPR_(False_Positive_Rate),0.14035087719298245,,,
FNR_(False_Negative_Rate),0.03508771929824561,,,
Matthews_Correlation_Coefficient,0.8291679276391088,,,
Cohen_Kappa,0.8245614035087719,,,
TP_(True_Positives),55.0,,,
FP_(False_Positives),8.0,,,
FN_(False_Negatives),2.0,,,
TN_(True_Negatives),49.0,,,
