,precision,recall,f1-score,support
Negative,0.9545454545454546,0.7368421052631579,0.8316831683168316,57.0
Positive,0.7857142857142857,0.9649122807017544,0.8661417322834646,57.0
accuracy,0.8508771929824561,0.8508771929824561,0.8508771929824561,0.8508771929824561
macro avg,0.8701298701298701,0.8508771929824561,0.8489124503001482,114.0
weighted avg,0.8701298701298702,0.8508771929824561,0.8489124503001481,114.0
Sensitivity_(Recall),0.9649122807017544,,,
Specificity,0.7368421052631579,,,
Balanced_Accuracy,0.8508771929824561,,,
PPV_(Positive_Predictive_Value),0.7857142857142857,,,
NPV_(Negative_Predictive_Value),0.9545454545454546,,,
FPR_(False_Positive_Rate),0.2631578947368421,,,
FNR_(False_Negative_Rate),0.03508771929824561,,,
Matthews_Correlation_Coefficient,0.7207499701564472,,,
Cohen_Kappa,0.7017543859649122,,,
TP_(True_Positives),55.0,,,
FP_(False_Positives),15.0,,,
FN_(False_Negatives),2.0,,,
TN_(True_Negatives),42.0,,,
