,precision,recall,f1-score,support
Negative,0.9591836734693877,0.8245614035087719,0.8867924528301887,57.0
Positive,0.8461538461538461,0.9649122807017544,0.9016393442622951,57.0
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632
macro avg,0.902668759811617,0.8947368421052632,0.8942158985462418,114.0
weighted avg,0.902668759811617,0.8947368421052632,0.8942158985462418,114.0
Sensitivity_(Recall),0.9649122807017544,,,
Specificity,0.8245614035087719,,,
Balanced_Accuracy,0.8947368421052632,,,
PPV_(Positive_Predictive_Value),0.8461538461538461,,,
NPV_(Negative_Predictive_Value),0.9591836734693877,,,
FPR_(False_Positive_Rate),0.17543859649122806,,,
FNR_(False_Negative_Rate),0.03508771929824561,,,
Matthews_Correlation_Coefficient,0.7973661509306258,,,
Cohen_Kappa,0.7894736842105263,,,
TP_(True_Positives),55.0,,,
FP_(False_Positives),10.0,,,
FN_(False_Negatives),2.0,,,
TN_(True_Negatives),47.0,,,
