Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8070175438596491,0.8126778530929628,0.05345894024075259,0.7087238285144567,0.9166666666666666,0.10397141907610497
Precision,0.9787234042553191,0.9788680609352827,0.019269869289636022,0.9347826086956522,1.0,0.03260869565217389
Accuracy,0.8947368421052632,0.8978947368421052,0.028745173695292666,0.8421052631578947,0.956140350877193,0.057017543859649134
F1_Score,0.8846153846153846,0.8870764070228989,0.034018286487418295,0.8190322580645161,0.9473684210526316,0.06416808149405778
Sensitivity,0.8070175438596491,0.8126778530929628,0.05345894024075259,0.7087238285144567,0.9166666666666666,0.10397141907610497
Specificity,0.9824561403508771,0.9827468860785635,0.015609598618839404,0.9482758620689655,1.0,0.025862068965517238
Balanced_Accuracy,0.894736842105263,0.8977123695857631,0.027969003744693858,0.8417155067155067,0.9488185884266392,0.05355154085556629
PPV_(Positive_Predictive_Value),0.9787234042553191,0.9788680609352827,0.019269869289636022,0.9347826086956522,1.0,0.03260869565217389
NPV_(Negative_Predictive_Value),0.835820895522388,0.8404472812563115,0.046472159235994,0.7461442786069652,0.9310344827586207,0.09244510207582773
FPR_(False_Positive_Rate),0.017543859649122806,0.01725311392143646,0.015609598618839402,0.0,0.05172413793103448,0.02586206896551724
FNR_(False_Negative_Rate),0.19298245614035087,0.18732214690703733,0.053458940240752595,0.08333333333333333,0.29127617148554324,0.10397141907610497
Matthews_Correlation_Coefficient,0.8019110233050734,0.8071506874948752,0.05129665795590271,0.7096866243165322,0.9086659851362829,0.09948968040987538
Cohen_Kappa,0.7894736842105263,0.7943198663022064,0.05727172368498341,0.6866624782183902,0.9048370864407216,0.10908730411116568
TP_(True_Positives),46.0,46.0,0.0,46.0,46.0,0.0
FP_(False_Positives),1.0,1.0,0.0,1.0,1.0,0.0
FN_(False_Negatives),11.0,11.0,0.0,11.0,11.0,0.0
TN_(True_Negatives),56.0,56.0,0.0,56.0,56.0,0.0
