,precision,recall,f1-score,support
Negative,0.8615384615384616,0.9824561403508771,0.9180327868852458,57.0
Positive,0.9795918367346939,0.8421052631578947,0.9056603773584905,57.0
accuracy,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859
macro avg,0.9205651491365777,0.9122807017543859,0.9118465821218682,114.0
weighted avg,0.9205651491365777,0.9122807017543859,0.9118465821218681,114.0
