Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.9087719298245615,0.0181898608362524,0.9088 ± 0.0182,297-301
Precision(+),0.9507960556963253,0.032563841004568814,0.9508 ± 0.0326,297-301
Recall(+),0.8631578947368421,0.022874394404219837,0.8632 ± 0.0229,297-301
Recall(-),0.9543859649122808,0.03187000372734202,0.9544 ± 0.0319,297-301
F1_Macro,0.9085559664768812,0.01817893618105593,0.9086 ± 0.0182,297-301
