,precision,recall,f1-score,support
Negative,0.8333333333333334,0.9649122807017544,0.8943089430894309,57.0
Positive,0.9583333333333334,0.8070175438596491,0.8761904761904762,57.0
accuracy,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.8859649122807017
macro avg,0.8958333333333334,0.8859649122807017,0.8852497096399535,114.0
weighted avg,0.8958333333333334,0.8859649122807017,0.8852497096399535,114.0
Sensitivity_(Recall),0.8070175438596491,,,
Specificity,0.9649122807017544,,,
Balanced_Accuracy,0.8859649122807017,,,
PPV_(Positive_Predictive_Value),0.9583333333333334,,,
NPV_(Negative_Predictive_Value),0.8333333333333334,,,
FPR_(False_Positive_Rate),0.03508771929824561,,,
FNR_(False_Negative_Rate),0.19298245614035087,,,
Matthews_Correlation_Coefficient,0.7817359599705715,,,
Cohen_Kappa,0.7719298245614035,,,
TP_(True_Positives),46.0,,,
FP_(False_Positives),2.0,,,
FN_(False_Negatives),11.0,,,
TN_(True_Negatives),55.0,,,
