Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.9298245614035088,0.9281120794456592,0.03397535371532465,0.8598157894736842,0.9833333333333333,0.06175877192982454
Precision,0.8412698412698413,0.8445429677612365,0.046987037145644034,0.7517210144927536,0.9304782082324454,0.0893785968698459
Accuracy,0.8771929824561403,0.877561403508772,0.030854552105923125,0.8245614035087719,0.9385964912280702,0.057017543859649134
F1_Score,0.8833333333333334,0.8834526840315747,0.03134778446132577,0.8214285714285715,0.9431206611570248,0.06084604486422662
Sensitivity,0.9298245614035088,0.9281120794456592,0.03397535371532465,0.8598157894736842,0.9833333333333333,0.06175877192982454
Specificity,0.8245614035087719,0.8263807883204167,0.05123224716141955,0.7294525154694645,0.920984375,0.09576592976526771
Balanced_Accuracy,0.8771929824561404,0.877246433883038,0.030691871123062986,0.816111906300982,0.9388035753592654,0.06134583452914172
PPV_(Positive_Predictive_Value),0.8412698412698413,0.8445429677612365,0.046987037145644034,0.7517210144927536,0.9304782082324454,0.0893785968698459
NPV_(Negative_Predictive_Value),0.9215686274509803,0.9186417186974625,0.038764753471614566,0.8286316947909024,0.9818287037037037,0.07659850445640065
FPR_(False_Positive_Rate),0.17543859649122806,0.1736192116795832,0.05123224716141955,0.079015625,0.27054748453053534,0.09576592976526767
FNR_(False_Negative_Rate),0.07017543859649122,0.0718879205543408,0.03397535371532465,0.016666666666666666,0.14018421052631577,0.061758771929824555
Matthews_Correlation_Coefficient,0.7586004444357805,0.7587786258110194,0.06035121415797479,0.6412936937151904,0.8794517915128706,0.11907904889884008
Cohen_Kappa,0.7543859649122807,0.7534103495059127,0.061934288613636,0.6359034292409432,0.8772363308995955,0.12066645082932614
TP_(True_Positives),53.0,53.0,0.0,53.0,53.0,0.0
FP_(False_Positives),10.0,10.0,0.0,10.0,10.0,0.0
FN_(False_Negatives),4.0,4.0,0.0,4.0,4.0,0.0
TN_(True_Negatives),47.0,47.0,0.0,47.0,47.0,0.0
