Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.9298245614035088,0.9304756831395687,0.034216870285965595,0.8620689655172413,0.984005376344086,0.06096820541342235
Precision,0.8153846153846154,0.8137075283019346,0.0494536630383066,0.7154166666666667,0.9032786885245901,0.09393101092896172
Accuracy,0.8596491228070176,0.8584035087719298,0.03333545237955139,0.7894736842105263,0.9210526315789473,0.06578947368421051
F1_Score,0.8688524590163934,0.8672399141646459,0.034158439750261387,0.7966756235358964,0.9274439024390243,0.06538413945156396
Sensitivity,0.9298245614035088,0.9304756831395687,0.034216870285965595,0.8620689655172413,0.984005376344086,0.06096820541342235
Specificity,0.7894736842105263,0.7859016709253596,0.05389823784648483,0.6789322033898305,0.8849242424242424,0.10299601951720594
Balanced_Accuracy,0.8596491228070176,0.8581886770324642,0.03232103923999238,0.7928526688453159,0.9190046296296296,0.06307598039215684
PPV_(Positive_Predictive_Value),0.8153846153846154,0.8137075283019346,0.0494536630383066,0.7154166666666667,0.9032786885245901,0.09393101092896172
NPV_(Negative_Predictive_Value),0.9183673469387755,0.9184178518287744,0.040015814370925946,0.8333333333333334,0.9809597242380261,0.07381319545234638
FPR_(False_Positive_Rate),0.21052631578947367,0.21409832907464038,0.05389823784648483,0.11507575757575758,0.32106779661016943,0.10299601951720593
FNR_(False_Negative_Rate),0.07017543859649122,0.06952431686043122,0.034216870285965595,0.01599462365591398,0.13793103448275862,0.06096820541342232
Matthews_Correlation_Coefficient,0.7264891597367924,0.7241284725462016,0.06360622395044585,0.5903445065419374,0.8456715133180098,0.12766350338803623
Cohen_Kappa,0.7192982456140351,0.7150307596116302,0.06608411954090426,0.5818572498120977,0.8416363765824549,0.1298895633851786
TP_(True_Positives),53.0,53.0,0.0,53.0,53.0,0.0
FP_(False_Positives),12.0,12.0,0.0,12.0,12.0,0.0
FN_(False_Negatives),4.0,4.0,0.0,4.0,4.0,0.0
TN_(True_Negatives),45.0,45.0,0.0,45.0,45.0,0.0
