,precision,recall,f1-score,support
Negative,0.9999471700771317,0.9999823894054664,0.9999647794311878,56784.0
Positive,0.9999549508964771,0.9998648648648648,0.999909905851615,22200.0
accuracy,0.9999493568317634,0.9999493568317634,0.9999493568317634,0.9999493568317634
macro avg,0.9999510604868045,0.9999236271351656,0.9999373426414013,78984.0
weighted avg,0.9999493570287862,0.9999493568317634,0.9999493561370204,78984.0
Sensitivity_(Recall),0.9998648648648648,,,
Specificity,0.9999823894054664,,,
Balanced_Accuracy,0.9999236271351656,,,
PPV_(Positive_Predictive_Value),0.9999549508964771,,,
NPV_(Negative_Predictive_Value),0.9999471700771317,,,
FPR_(False_Positive_Rate),1.7610594533671456e-05,,,
FNR_(False_Negative_Rate),0.00013513513513513514,,,
Matthews_Correlation_Coefficient,0.9998746872456284,,,
Cohen_Kappa,0.9998746852829021,,,
TP_(True_Positives),22197.0,,,
FP_(False_Positives),1.0,,,
FN_(False_Negatives),3.0,,,
TN_(True_Negatives),56783.0,,,
