,precision,recall,f1-score,support
Negative,0.9545454545454546,0.3684210526315789,0.5316455696202531,57.0
Positive,0.6086956521739131,0.9824561403508771,0.7516778523489933,57.0
accuracy,0.6754385964912281,0.6754385964912281,0.6754385964912281,0.6754385964912281
macro avg,0.7816205533596838,0.6754385964912281,0.6416617109846232,114.0
weighted avg,0.781620553359684,0.6754385964912281,0.6416617109846232,114.0
Sensitivity_(Recall),0.9824561403508771,,,
Specificity,0.3684210526315789,,,
Balanced_Accuracy,0.6754385964912281,,,
PPV_(Positive_Predictive_Value),0.6086956521739131,,,
NPV_(Negative_Predictive_Value),0.9545454545454546,,,
FPR_(False_Positive_Rate),0.631578947368421,,,
FNR_(False_Negative_Rate),0.017543859649122806,,,
Matthews_Correlation_Coefficient,0.4445542244743871,,,
Cohen_Kappa,0.3508771929824561,,,
TP_(True_Positives),56.0,,,
FP_(False_Positives),36.0,,,
FN_(False_Negatives),1.0,,,
TN_(True_Negatives),21.0,,,
