,precision,recall,f1-score,support
Negative,0.96875,0.543859649122807,0.6966292134831461,57.0
Positive,0.6829268292682927,0.9824561403508771,0.8057553956834532,57.0
accuracy,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421
macro avg,0.8258384146341464,0.763157894736842,0.7511923045832997,114.0
weighted avg,0.8258384146341464,0.7631578947368421,0.7511923045832997,114.0
Sensitivity_(Recall),0.9824561403508771,,,
Specificity,0.543859649122807,,,
Balanced_Accuracy,0.763157894736842,,,
PPV_(Positive_Predictive_Value),0.6829268292682927,,,
NPV_(Negative_Predictive_Value),0.96875,,,
FPR_(False_Positive_Rate),0.45614035087719296,,,
FNR_(False_Negative_Rate),0.017543859649122806,,,
Matthews_Correlation_Coefficient,0.5856516070822727,,,
Cohen_Kappa,0.5263157894736843,,,
TP_(True_Positives),56.0,,,
FP_(False_Positives),26.0,,,
FN_(False_Negatives),1.0,,,
TN_(True_Negatives),31.0,,,
