,precision,recall,f1-score,support
Negative,0.9833519691887191,0.14530400939932442,0.25319492650469444,54472.0
Positive,0.3352418756068308,0.9943251598695634,0.5014255357772106,23613.0
accuracy,0.40204904911314593,0.40204904911314593,0.40204904911314593,0.40204904911314593
macro avg,0.6592969223977749,0.5698145846344439,0.3773102311409525,78085.0
weighted avg,0.7873626800839085,0.40204904911314593,0.3282601679307292,78085.0
Sensitivity_(Recall),0.9943251598695634,,,
Specificity,0.14530400939932442,,,
Balanced_Accuracy,0.5698145846344439,,,
PPV_(Positive_Predictive_Value),0.3352418756068308,,,
NPV_(Negative_Predictive_Value),0.9833519691887191,,,
FPR_(False_Positive_Rate),0.8546959906006756,,,
FNR_(False_Negative_Rate),0.005674840130436624,,,
Matthews_Correlation_Coefficient,0.21091466018981136,,,
Cohen_Kappa,0.08968532606964019,,,
TP_(True_Positives),23479.0,,,
FP_(False_Positives),46557.0,,,
FN_(False_Negatives),134.0,,,
TN_(True_Negatives),7915.0,,,
