fold,threshold,accuracy,precision,recall,f1_score,sensitivity,specificity,balanced_accuracy,ppv,npv,fpr,fnr,mcc,kappa,tp,fp,fn,tn,total_samples,num_positive,num_negative
0,0.9899999999999995,0.6994315931697999,0.4955765047135606,0.13272995649471722,0.20938141487177916,0.13272995649471722,0.9421394110796872,0.5374346837872023,0.4955765047135606,0.717232994338834,0.05786058892031276,0.8672700435052828,0.12622564164177819,0.09468718108201624,3417,3478,22327,56632,85854,25744,60110
1,0.9299999999999996,0.9993799369153209,0.9985972439970294,0.9995044598612488,0.9990506459735007,0.9995044598612488,0.999319591755053,0.9994120258081509,0.9985972439970294,0.9997597501401457,0.0006804082449469682,0.0004955401387512388,0.9985904955704143,0.9985902686048744,12102,17,6,24968,37093,12108,24985
2,0.9899999999999995,0.7159505666901453,0.5166021734596937,0.9441832888663024,0.6678148869252658,0.9441832888663024,0.6170142458510794,0.7805987673586909,0.5166021734596937,0.962265231333028,0.38298575414892055,0.05581671113369754,0.5184006240603748,0.4546152911896384,22295,20862,1318,33610,78085,23613,54472
3,0.9899999999999995,0.7158168028750848,0.9470046082949308,0.06915699141847552,0.12890073702367885,0.06915699141847552,0.9983093518569565,0.5337331716377159,0.9470046082949308,0.7105672766274704,0.0016906481430435342,0.9308430085815245,0.210627563524928,0.0912957059996069,1644,92,22128,54325,78189,23772,54417
4,0.1,0.9969836825001729,0.9949758529365945,0.9914619474521675,0.9932157922360672,0.9914619474521675,0.998565662630508,0.9950138050413377,0.9949758529365945,0.9975563158128582,0.0014343373694919778,0.008538052547832499,0.9912790984163822,0.9912765340706109,25547,129,220,89808,115704,25767,89937
