Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.9943251598695634,0.9943135550243407,0.0004737108085951613,0.9934081460528111,0.9952880979686702,0.0009399759579295508
Precision,0.3352418756068308,0.3352792478936742,0.001790007544338584,0.3318559311569761,0.33879363754331904,0.0034688531931714728
Accuracy,0.40204904911314593,0.4020682205289108,0.001751189876473828,0.39874431709035024,0.4053288083498751,0.003292245629762436
F1_Score,0.5014255357772106,0.5014631874887452,0.00200811740204189,0.49759928844969553,0.5054275411120347,0.003914126331169582
Sensitivity,0.9943251598695634,0.9943135550243407,0.0004737108085951613,0.9934081460528111,0.9952880979686702,0.0009399759579295508
Specificity,0.14530400939932442,0.1452845626777169,0.0014991511705831713,0.1423243893375976,0.1481531719992003,0.002914391330801347
Balanced_Accuracy,0.5698145846344439,0.5697990588510288,0.0007819394415519328,0.5682608495974384,0.5713788768322514,0.0015590136174065128
PPV_(Positive_Predictive_Value),0.3352418756068308,0.3352792478936742,0.001790007544338584,0.3318559311569761,0.33879363754331904,0.0034688531931714728
NPV_(Negative_Predictive_Value),0.9833519691887191,0.9833134551915426,0.0013773374105099203,0.9806400569052071,0.9861366641720558,0.002748303633424376
FPR_(False_Positive_Rate),0.8546959906006756,0.8547154373222832,0.0014991511705831713,0.8518468280007997,0.8576756106624024,0.002914391330801347
FNR_(False_Negative_Rate),0.005674840130436624,0.005686444975659279,0.0004737108085951609,0.004711902031329753,0.006591853947188874,0.0009399759579295608
Matthews_Correlation_Coefficient,0.21091466018981136,0.21088794892444648,0.0016485309301017934,0.2075916569569808,0.21413843838443355,0.0032733907137263707
Cohen_Kappa,0.08968532606964019,0.08967670719840405,0.0011471486414625519,0.0874341319551434,0.0919518987068868,0.002258883375871705
TP_(True_Positives),23479.0,23479.0,0.0,23479.0,23479.0,0.0
FP_(False_Positives),46557.0,46557.0,0.0,46557.0,46557.0,0.0
FN_(False_Negatives),134.0,134.0,0.0,134.0,134.0,0.0
TN_(True_Negatives),7915.0,7915.0,0.0,7915.0,7915.0,0.0
