,precision,recall,f1-score,support
Negative,0.6979036888575917,0.8573615039094993,0.76945817220837,60110.0
Positive,0.28609492089925065,0.13346799254195152,0.1820204481644329,25744.0
accuracy,0.6402963170032846,0.6402963170032846,0.6402963170032846,0.6402963170032846
macro avg,0.49199930487842114,0.4954147482257254,0.4757393101864015,85854.0
weighted avg,0.5744195771992002,0.6402963170032846,0.5933103308988548,85854.0
Sensitivity_(Recall),0.13346799254195152,,,
Specificity,0.8573615039094993,,,
Balanced_Accuracy,0.4954147482257254,,,
PPV_(Positive_Predictive_Value),0.28609492089925065,,,
NPV_(Negative_Predictive_Value),0.6979036888575917,,,
FPR_(False_Positive_Rate),0.14263849609050075,,,
FNR_(False_Negative_Rate),0.8665320074580485,,,
Matthews_Correlation_Coefficient,-0.012113661956922794,,,
Cohen_Kappa,-0.0108206685537664,,,
TP_(True_Positives),3436.0,,,
FP_(False_Positives),8574.0,,,
FN_(False_Negatives),22308.0,,,
TN_(True_Negatives),51536.0,,,
