,precision,recall,f1-score,support
Negative,0.7089909511784511,0.9906095521620082,0.8264685815912732,54417.0
Positive,0.7630968938340288,0.06924112401144203,0.1269620887809017,23772.0
accuracy,0.710483571857934,0.710483571857934,0.710483571857934,0.710483571857934
macro avg,0.73604392250624,0.5299253380867252,0.47671533518608744,78189.0
weighted avg,0.7254409181662421,0.710483571857934,0.6137958482516966,78189.0
Sensitivity_(Recall),0.06924112401144203,,,
Specificity,0.9906095521620082,,,
Balanced_Accuracy,0.5299253380867252,,,
PPV_(Positive_Predictive_Value),0.7630968938340288,,,
NPV_(Negative_Predictive_Value),0.7089909511784511,,,
FPR_(False_Positive_Rate),0.009390447837991804,,,
FNR_(False_Negative_Rate),0.930758875988558,,,
Matthews_Correlation_Coefficient,0.16809157247543344,,,
Cohen_Kappa,0.08044729925687077,,,
TP_(True_Positives),1646.0,,,
FP_(False_Positives),511.0,,,
FN_(False_Negatives),22126.0,,,
TN_(True_Negatives),53906.0,,,
