strategy,accuracy,precision,recall,f1_score,balanced_accuracy
uniform,0.821290118376907,0.7256399093578023,0.5856095275845915,0.648147686540005,0.7495215969958982
accuracy,0.8452125549269299,0.7645720885848926,0.6363635896135202,0.6946012531223146,0.780718032793774
f1,0.8990041856985375,0.782413182606701,0.8605794199486425,0.8196369013477227,0.8867778498041714
balanced_accuracy,0.8557857964767684,0.7585098497606193,0.6969177283524515,0.7264105330661285,0.8064385653603269
inverse_difficulty,0.8557857964767684,0.7585098497606193,0.6969177283524515,0.7264105330661285,0.8064385653603269
